,CIK,Company Name,Form Type,Date Filed,File Name,File split,Landing page
61,1014052,"Digerati Technologies, Inc.",10-K,20181116,edgar/data/1014052/0001213900-18-016037.txt,edgar/data/1014052/0001213900-18-016037,https://www.sec.gov/Archives/edgar/data/1014052/0001213900-18-016037-index.htm
312,1113256,MERITOR INC,10-K,20181116,edgar/data/1113256/0001113256-18-000120.txt,edgar/data/1113256/0001113256-18-000120,https://www.sec.gov/Archives/edgar/data/1113256/0001113256-18-000120-index.htm
349,1118417,"MODEL N, INC.",10-K,20181116,edgar/data/1118417/0001118417-18-000009.txt,edgar/data/1118417/0001118417-18-000009,https://www.sec.gov/Archives/edgar/data/1118417/0001118417-18-000009-index.htm
438,1173431,TD AMERITRADE HOLDING CORP,10-K,20181116,edgar/data/1173431/0001173431-18-000125.txt,edgar/data/1173431/0001173431-18-000125,https://www.sec.gov/Archives/edgar/data/1173431/0001173431-18-000125-index.htm
960,1339947,Viacom Inc.,10-K,20181116,edgar/data/1339947/0001339947-18-000046.txt,edgar/data/1339947/0001339947-18-000046,https://www.sec.gov/Archives/edgar/data/1339947/0001339947-18-000046-index.htm
1059,1378718,"Wesco Aircraft Holdings, Inc",10-K,20181116,edgar/data/1378718/0001378718-18-000058.txt,edgar/data/1378718/0001378718-18-000058,https://www.sec.gov/Archives/edgar/data/1378718/0001378718-18-000058-index.htm
1060,1378992,BERRY GLOBAL GROUP INC,10-K,20181116,edgar/data/1378992/0001378992-18-000039.txt,edgar/data/1378992/0001378992-18-000039,https://www.sec.gov/Archives/edgar/data/1378992/0001378992-18-000039-index.htm
1126,1403161,VISA INC.,10-K,20181116,edgar/data/1403161/0001403161-18-000055.txt,edgar/data/1403161/0001403161-18-000055,https://www.sec.gov/Archives/edgar/data/1403161/0001403161-18-000055-index.htm
1289,1459287,SATUSA Corp,10-K,20181116,edgar/data/1459287/0001459287-18-000008.txt,edgar/data/1459287/0001459287-18-000008,https://www.sec.gov/Archives/edgar/data/1459287/0001459287-18-000008-index.htm
1375,1493594,"MACOM Technology Solutions Holdings, Inc.",10-K,20181116,edgar/data/1493594/0001493594-18-000034.txt,edgar/data/1493594/0001493594-18-000034,https://www.sec.gov/Archives/edgar/data/1493594/0001493594-18-000034-index.htm
1512,1530163,"Darkstar Ventures, Inc.",10-K,20181116,edgar/data/1530163/0001558891-18-000100.txt,edgar/data/1530163/0001558891-18-000100,https://www.sec.gov/Archives/edgar/data/1530163/0001558891-18-000100-index.htm
1515,1530950,"Post Holdings, Inc.",10-K,20181116,edgar/data/1530950/0001530950-18-000238.txt,edgar/data/1530950/0001530950-18-000238,https://www.sec.gov/Archives/edgar/data/1530950/0001530950-18-000238-index.htm
1755,1577134,"Terra Income Fund 6, Inc.",10-K,20181116,edgar/data/1577134/0001577134-18-000018.txt,edgar/data/1577134/0001577134-18-000018,https://www.sec.gov/Archives/edgar/data/1577134/0001577134-18-000018-index.htm
1951,16099,LUBYS INC,10-K,20181116,edgar/data/16099/0000016099-18-000141.txt,edgar/data/16099/0000016099-18-000141,https://www.sec.gov/Archives/edgar/data/16099/0000016099-18-000141-index.htm
2047,1632790,"ENERGIZER HOLDINGS, INC.",10-K,20181116,edgar/data/1632790/0001632790-18-000107.txt,edgar/data/1632790/0001632790-18-000107,https://www.sec.gov/Archives/edgar/data/1632790/0001632790-18-000107-index.htm
2576,1732845,WestRock Co,10-K,20181116,edgar/data/1732845/0001564590-18-029723.txt,edgar/data/1732845/0001564590-18-029723,https://www.sec.gov/Archives/edgar/data/1732845/0001564590-18-029723-index.htm
2948,46765,"Helmerich & Payne, Inc.",10-K,20181116,edgar/data/46765/0001558370-18-009412.txt,edgar/data/46765/0001558370-18-009412,https://www.sec.gov/Archives/edgar/data/46765/0001558370-18-009412-index.htm
3010,70145,NATIONAL FUEL GAS CO,10-K,20181116,edgar/data/70145/0000070145-18-000022.txt,edgar/data/70145/0000070145-18-000022,https://www.sec.gov/Archives/edgar/data/70145/0000070145-18-000022-index.htm
